pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma
77,75,-2,NaN,NaN,NaN,NaN
78,76,-2,NaN,NaN,NaN,NaN
79,77,-2,NaN,NaN,NaN,NaN
80,78,-2,NaN,NaN,NaN,NaN
81,79,-2,NaN,NaN,NaN,NaN
82,80,-2,NaN,NaN,NaN,NaN
83,81,-2,NaN,NaN,NaN,NaN
84,82,-2,NaN,NaN,NaN,NaN
85,83,-2,NaN,NaN,NaN,NaN
86,84,-2,NaN,NaN,NaN,NaN
87,85,-2,NaN,NaN,NaN,NaN
88,86,-2,NaN,NaN,NaN,NaN
89,87,-2,NaN,NaN,NaN,NaN
90,88,-2,NaN,NaN,NaN,NaN
91,89,-2,NaN,NaN,NaN,NaN
92,90,-2,NaN,NaN,NaN,NaN
93,91,-2,NaN,NaN,NaN,NaN
94,92,-2,NaN,NaN,NaN,NaN
95,93,-2,NaN,NaN,NaN,NaN
96,94,-2,NaN,NaN,NaN,NaN
97,95,-2,NaN,NaN,NaN,NaN
98,96,-2,NaN,NaN,NaN,NaN
99,97,-2,NaN,NaN,NaN,NaN
100,98,-2,NaN,NaN,NaN,NaN
101,99,-2,NaN,NaN,NaN,NaN
102,100,-2,NaN,NaN,NaN,NaN
103,101,-2,NaN,NaN,NaN,NaN
104,102,-2,NaN,NaN,NaN,NaN
105,103,-2,NaN,NaN,NaN,NaN
106,104,-2,NaN,NaN,NaN,NaN
107,105,-2,NaN,NaN,NaN,NaN
108,106,-2,NaN,NaN,NaN,NaN
109,107,-2,NaN,NaN,NaN,NaN
110,108,-2,NaN,NaN,NaN,NaN
111,109,-2,NaN,NaN,NaN,NaN
112,110,-2,NaN,NaN,NaN,NaN
113,111,-2,NaN,NaN,NaN,NaN
114,112,-2,NaN,NaN,NaN,NaN
115,113,-2,NaN,NaN,NaN,NaN
116,114,-2,NaN,NaN,NaN,NaN
117,115,-2,NaN,NaN,NaN,NaN
118,116,-2,NaN,NaN,NaN,NaN
119,117,-2,NaN,NaN,NaN,NaN
120,118,-2,NaN,NaN,NaN,NaN
121,119,-2,NaN,NaN,NaN,NaN
122,120,-2,NaN,NaN,NaN,NaN
123,121,-2,NaN,NaN,NaN,NaN
124,122,-2,NaN,NaN,NaN,NaN
125,123,-2,NaN,NaN,NaN,NaN
126,124,-2,NaN,NaN,NaN,NaN
127,125,-2,NaN,NaN,NaN,NaN
128,126,-2,NaN,NaN,NaN,NaN
129,127,-2,NaN,NaN,NaN,NaN
130,128,-2,NaN,NaN,NaN,NaN
131,129,-2,NaN,NaN,NaN,NaN
132,130,-2,NaN,NaN,NaN,NaN
133,131,-2,NaN,NaN,NaN,NaN
134,132,-2,NaN,NaN,NaN,NaN
135,133,-2,NaN,NaN,NaN,NaN
136,134,-2,NaN,NaN,NaN,NaN
137,135,-2,NaN,NaN,NaN,NaN
138,136,-2,NaN,NaN,NaN,NaN
139,137,-2,NaN,NaN,NaN,NaN
140,138,-2,NaN,NaN,NaN,NaN
141,139,-2,NaN,NaN,NaN,NaN
142,140,-2,NaN,NaN,NaN,NaN
143,141,-2,NaN,NaN,NaN,NaN
144,142,-2,NaN,NaN,NaN,NaN
145,143,-2,NaN,NaN,NaN,NaN
146,144,-2,NaN,NaN,NaN,NaN
147,145,-2,NaN,NaN,NaN,NaN
148,146,-2,NaN,NaN,NaN,NaN
149,147,-2,NaN,NaN,NaN,NaN
150,148,-2,NaN,NaN,NaN,NaN
151,149,-2,NaN,NaN,NaN,NaN
152,150,-2,NaN,NaN,NaN,NaN
153,151,-2,NaN,NaN,NaN,NaN
154,152,-2,NaN,NaN,NaN,NaN
155,153,-2,NaN,NaN,NaN,NaN
156,154,-2,NaN,NaN,NaN,NaN
157,155,-2,NaN,NaN,NaN,NaN
158,156,-2,NaN,NaN,NaN,NaN
159,157,-2,NaN,NaN,NaN,NaN
160,158,-2,NaN,NaN,NaN,NaN
161,159,-2,NaN,NaN,NaN,NaN
162,160,-2,NaN,NaN,NaN,NaN
163,161,-2,NaN,NaN,NaN,NaN
164,162,-2,NaN,NaN,NaN,NaN
165,163,-2,NaN,NaN,NaN,NaN
166,164,-2,NaN,NaN,NaN,NaN
167,165,-2,NaN,NaN,NaN,NaN
168,166,-2,NaN,NaN,NaN,NaN
169,167,-2,NaN,NaN,NaN,NaN
170,168,-2,NaN,NaN,NaN,NaN
171,169,-2,NaN,NaN,NaN,NaN
172,170,-2,NaN,NaN,NaN,NaN
173,171,-2,NaN,NaN,NaN,NaN
174,172,-2,NaN,NaN,NaN,NaN
175,173,-2,NaN,NaN,NaN,NaN
176,174,-2,NaN,NaN,NaN,NaN
177,175,-2,NaN,NaN,NaN,NaN
178,176,-2,NaN,NaN,NaN,NaN
179,177,-2,NaN,NaN,NaN,NaN
180,178,-2,NaN,NaN,NaN,NaN
181,179,-2,NaN,NaN,NaN,NaN
182,180,-2,NaN,NaN,NaN,NaN
183,181,-2,NaN,NaN,NaN,NaN
184,182,-2,NaN,NaN,NaN,NaN
185,183,-2,NaN,NaN,NaN,NaN
186,184,-2,NaN,NaN,NaN,NaN
187,185,-2,NaN,NaN,NaN,NaN
188,186,-2,NaN,NaN,NaN,NaN
189,187,-2,NaN,NaN,NaN,NaN
190,188,-2,NaN,NaN,NaN,NaN
191,189,-2,NaN,NaN,NaN,NaN
192,190,-2,NaN,NaN,NaN,NaN
193,191,-2,NaN,NaN,NaN,NaN
194,192,-2,NaN,NaN,NaN,NaN
195,193,-2,NaN,NaN,NaN,NaN
196,194,-2,NaN,NaN,NaN,NaN
197,195,-2,NaN,NaN,NaN,NaN
198,196,-2,NaN,NaN,NaN,NaN
199,197,-2,NaN,NaN,NaN,NaN
200,198,-2,NaN,NaN,NaN,NaN
201,199,-2,NaN,NaN,NaN,NaN
202,200,-2,NaN,NaN,NaN,NaN
203,201,-2,NaN,NaN,NaN,NaN
204,202,-2,NaN,NaN,NaN,NaN
205,203,-2,NaN,NaN,NaN,NaN
206,204,-2,NaN,NaN,NaN,NaN
207,205,-2,NaN,NaN,NaN,NaN
208,206,-2,NaN,NaN,NaN,NaN
209,207,-2,NaN,NaN,NaN,NaN
210,208,-2,NaN,NaN,NaN,NaN
211,209,-2,NaN,NaN,NaN,NaN
212,210,-2,NaN,NaN,NaN,NaN
213,211,-2,NaN,NaN,NaN,NaN
214,212,-2,NaN,NaN,NaN,NaN
215,213,-2,NaN,NaN,NaN,NaN
216,214,-2,NaN,NaN,NaN,NaN
217,215,-2,NaN,NaN,NaN,NaN
218,216,-2,NaN,NaN,NaN,NaN
219,217,-2,NaN,NaN,NaN,NaN
220,218,-2,NaN,NaN,NaN,NaN
221,219,-2,NaN,NaN,NaN,NaN
222,220,-2,NaN,NaN,NaN,NaN
223,221,-2,NaN,NaN,NaN,NaN
224,222,-2,NaN,NaN,NaN,NaN
225,223,-2,NaN,NaN,NaN,NaN
226,224,-2,NaN,NaN,NaN,NaN
227,225,-2,NaN,NaN,NaN,NaN
228,226,-2,NaN,NaN,NaN,NaN
229,227,-2,NaN,NaN,NaN,NaN
230,228,-2,NaN,NaN,NaN,NaN
231,229,-2,NaN,NaN,NaN,NaN
232,230,-2,NaN,NaN,NaN,NaN
233,231,-2,NaN,NaN,NaN,NaN
234,232,-2,NaN,NaN,NaN,NaN
235,233,-2,NaN,NaN,NaN,NaN
236,234,-2,NaN,NaN,NaN,NaN
237,235,-2,NaN,NaN,NaN,NaN
238,236,-2,NaN,NaN,NaN,NaN
239,237,-2,NaN,NaN,NaN,NaN
240,238,-2,NaN,NaN,NaN,NaN
241,239,-2,NaN,NaN,NaN,NaN
242,240,-2,NaN,NaN,NaN,NaN
243,241,-2,NaN,NaN,NaN,NaN
244,242,-2,NaN,NaN,NaN,NaN
245,243,-2,NaN,NaN,NaN,NaN
246,244,-2,NaN,NaN,NaN,NaN
247,245,-2,NaN,NaN,NaN,NaN
248,246,-2,NaN,NaN,NaN,NaN
249,247,-2,NaN,NaN,NaN,NaN
250,248,-2,NaN,NaN,NaN,NaN
251,249,-2,NaN,NaN,NaN,NaN
252,250,-2,NaN,NaN,NaN,NaN
253,251,-2,NaN,NaN,NaN,NaN
254,252,-2,NaN,NaN,NaN,NaN
255,253,-2,NaN,NaN,NaN,NaN
256,254,-2,NaN,NaN,NaN,NaN
257,255,-2,NaN,NaN,NaN,NaN
258,256,-2,NaN,NaN,NaN,NaN
259,257,-2,NaN,NaN,NaN,NaN
260,258,-2,NaN,NaN,NaN,NaN
261,259,-2,NaN,NaN,NaN,NaN
262,260,-2,NaN,NaN,NaN,NaN
263,261,-2,NaN,NaN,NaN,NaN
264,262,-2,NaN,NaN,NaN,NaN
265,263,-2,NaN,NaN,NaN,NaN
266,264,-2,NaN,NaN,NaN,NaN
267,265,-2,NaN,NaN,NaN,NaN
268,266,-2,NaN,NaN,NaN,NaN
269,267,-2,NaN,NaN,NaN,NaN
270,268,-2,NaN,NaN,NaN,NaN
271,269,-2,NaN,NaN,NaN,NaN
272,270,-2,NaN,NaN,NaN,NaN
273,271,-2,NaN,NaN,NaN,NaN
274,272,-2,NaN,NaN,NaN,NaN
275,273,-2,NaN,NaN,NaN,NaN
276,274,-2,NaN,NaN,NaN,NaN
277,275,-2,NaN,NaN,NaN,NaN
278,276,-2,NaN,NaN,NaN,NaN
279,277,-2,NaN,NaN,NaN,NaN
280,278,-2,NaN,NaN,NaN,NaN
281,279,-2,NaN,NaN,NaN,NaN
282,280,-2,NaN,NaN,NaN,NaN
283,281,-2,NaN,NaN,NaN,NaN
284,282,-2,NaN,NaN,NaN,NaN
285,283,-2,NaN,NaN,NaN,NaN
286,284,-2,NaN,NaN,NaN,NaN
287,285,-2,NaN,NaN,NaN,NaN
288,286,-2,NaN,NaN,NaN,NaN
289,287,-2,NaN,NaN,NaN,NaN
290,288,-2,NaN,NaN,NaN,NaN
291,289,-2,NaN,NaN,NaN,NaN
292,290,-2,NaN,NaN,NaN,NaN
293,291,-2,NaN,NaN,NaN,NaN
294,292,-2,NaN,NaN,NaN,NaN
295,293,-2,NaN,NaN,NaN,NaN
296,294,-2,NaN,NaN,NaN,NaN
297,295,-2,NaN,NaN,NaN,NaN
298,296,-2,NaN,NaN,NaN,NaN
299,297,-2,NaN,NaN,NaN,NaN
300,298,-2,NaN,NaN,NaN,NaN
301,299,-2,NaN,NaN,NaN,NaN
302,300,-2,NaN,NaN,NaN,NaN
303,301,-2,NaN,NaN,NaN,NaN
304,302,-2,NaN,NaN,NaN,NaN
305,303,-2,NaN,NaN,NaN,NaN
306,304,-2,NaN,NaN,NaN,NaN
307,305,-2,NaN,NaN,NaN,NaN
308,306,-2,NaN,NaN,NaN,NaN
309,307,-2,NaN,NaN,NaN,NaN
310,308,-2,NaN,NaN,NaN,NaN
311,309,-2,NaN,NaN,NaN,NaN
312,310,-2,NaN,NaN,NaN,NaN
313,311,-2,NaN,NaN,NaN,NaN
314,312,-2,NaN,NaN,NaN,NaN
315,313,-2,NaN,NaN,NaN,NaN
316,314,-2,NaN,NaN,NaN,NaN
317,315,-2,NaN,NaN,NaN,NaN
318,316,-2,NaN,NaN,NaN,NaN
319,317,-2,NaN,NaN,NaN,NaN
320,318,-2,NaN,NaN,NaN,NaN
321,319,-2,NaN,NaN,NaN,NaN
322,320,-2,NaN,NaN,NaN,NaN
323,321,-2,NaN,NaN,NaN,NaN
324,322,-2,NaN,NaN,NaN,NaN
325,323,-2,NaN,NaN,NaN,NaN
326,324,-2,NaN,NaN,NaN,NaN
327,325,-2,NaN,NaN,NaN,NaN
328,326,-2,NaN,NaN,NaN,NaN
329,327,-2,NaN,NaN,NaN,NaN
330,328,-2,NaN,NaN,NaN,NaN
331,329,-2,NaN,NaN,NaN,NaN
332,330,-2,NaN,NaN,NaN,NaN
333,331,-2,NaN,NaN,NaN,NaN
334,332,-2,NaN,NaN,NaN,NaN
335,333,-2,NaN,NaN,NaN,NaN
336,334,-2,NaN,NaN,NaN,NaN
337,335,-2,NaN,NaN,NaN,NaN
338,336,-2,NaN,NaN,NaN,NaN
339,337,-2,NaN,NaN,NaN,NaN
340,338,-2,NaN,NaN,NaN,NaN
341,339,-2,NaN,NaN,NaN,NaN
342,340,-2,NaN,NaN,NaN,NaN
343,341,-2,NaN,NaN,NaN,NaN
344,342,-2,NaN,NaN,NaN,NaN
345,343,-2,NaN,NaN,NaN,NaN
346,344,-2,NaN,NaN,NaN,NaN
347,345,-2,NaN,NaN,NaN,NaN
348,346,-2,NaN,NaN,NaN,NaN
349,347,-2,NaN,NaN,NaN,NaN
350,348,-2,NaN,NaN,NaN,NaN
351,349,-2,NaN,NaN,NaN,NaN
352,350,-2,NaN,NaN,NaN,NaN
353,351,-2,NaN,NaN,NaN,NaN
354,352,-2,NaN,NaN,NaN,NaN
355,353,-2,NaN,NaN,NaN,NaN
356,354,-2,NaN,NaN,NaN,NaN
357,355,-2,NaN,NaN,NaN,NaN
358,356,-2,NaN,NaN,NaN,NaN
359,357,-2,NaN,NaN,NaN,NaN
360,358,-2,NaN,NaN,NaN,NaN
361,359,-2,NaN,NaN,NaN,NaN
362,360,-2,NaN,NaN,NaN,NaN
363,361,-2,NaN,NaN,NaN,NaN
364,362,-2,NaN,NaN,NaN,NaN
365,363,-2,NaN,NaN,NaN,NaN
366,364,-2,NaN,NaN,NaN,NaN
367,365,-2,NaN,NaN,NaN,NaN
368,366,-2,NaN,NaN,NaN,NaN
369,367,-2,NaN,NaN,NaN,NaN
370,368,-2,NaN,NaN,NaN,NaN
371,369,-2,NaN,NaN,NaN,NaN
372,370,-2,NaN,NaN,NaN,NaN
373,371,-2,NaN,NaN,NaN,NaN
374,372,-2,NaN,NaN,NaN,NaN
375,373,-2,NaN,NaN,NaN,NaN
376,374,-2,NaN,NaN,NaN,NaN
377,375,-2,NaN,NaN,NaN,NaN
378,376,-2,NaN,NaN,NaN,NaN
379,377,-2,NaN,NaN,NaN,NaN
380,378,-2,NaN,NaN,NaN,NaN
381,379,-2,NaN,NaN,NaN,NaN
382,380,-2,NaN,NaN,NaN,NaN
383,381,-2,NaN,NaN,NaN,NaN
384,382,-2,NaN,NaN,NaN,NaN
385,383,-2,NaN,NaN,NaN,NaN
386,384,-2,NaN,NaN,NaN,NaN
387,385,-2,NaN,NaN,NaN,NaN
388,386,-2,NaN,NaN,NaN,NaN
389,387,-2,NaN,NaN,NaN,NaN
390,388,-2,NaN,NaN,NaN,NaN
391,389,-2,NaN,NaN,NaN,NaN
392,390,-2,NaN,NaN,NaN,NaN
393,391,-2,NaN,NaN,NaN,NaN
394,392,-2,NaN,NaN,NaN,NaN
395,393,-2,NaN,NaN,NaN,NaN
396,394,-2,NaN,NaN,NaN,NaN
397,395,-2,NaN,NaN,NaN,NaN
398,396,-2,NaN,NaN,NaN,NaN
399,397,-2,NaN,NaN,NaN,NaN
400,398,-2,NaN,NaN,NaN,NaN
401,399,-2,NaN,NaN,NaN,NaN
402,400,-2,NaN,NaN,NaN,NaN
403,401,-2,NaN,NaN,NaN,NaN
404,402,-2,NaN,NaN,NaN,NaN
405,403,-2,NaN,NaN,NaN,NaN
406,404,-2,NaN,NaN,NaN,NaN
407,405,-2,NaN,NaN,NaN,NaN
408,406,-2,NaN,NaN,NaN,NaN
409,407,-2,NaN,NaN,NaN,NaN
410,408,-2,NaN,NaN,NaN,NaN
411,409,-2,NaN,NaN,NaN,NaN
412,410,-2,NaN,NaN,NaN,NaN
413,411,-2,NaN,NaN,NaN,NaN
414,412,-2,NaN,NaN,NaN,NaN
415,413,-2,NaN,NaN,NaN,NaN
416,414,-2,NaN,NaN,NaN,NaN
417,415,-2,NaN,NaN,NaN,NaN
418,416,-2,NaN,NaN,NaN,NaN
419,417,-2,NaN,NaN,NaN,NaN
420,418,-2,NaN,NaN,NaN,NaN
421,419,-2,NaN,NaN,NaN,NaN
422,420,-2,NaN,NaN,NaN,NaN
423,421,-2,NaN,NaN,NaN,NaN
424,422,-2,NaN,NaN,NaN,NaN
425,423,-2,NaN,NaN,NaN,NaN
426,424,-2,NaN,NaN,NaN,NaN
427,425,-2,NaN,NaN,NaN,NaN
428,426,-2,NaN,NaN,NaN,NaN
429,427,-2,NaN,NaN,NaN,NaN
430,428,-2,NaN,NaN,NaN,NaN
431,429,-2,NaN,NaN,NaN,NaN
432,430,-2,NaN,NaN,NaN,NaN
433,431,-2,NaN,NaN,NaN,NaN
434,432,-2,NaN,NaN,NaN,NaN
435,433,-2,NaN,NaN,NaN,NaN
436,434,-2,NaN,NaN,NaN,NaN
437,435,-2,NaN,NaN,NaN,NaN
438,436,-2,NaN,NaN,NaN,NaN
439,437,-2,NaN,NaN,NaN,NaN
440,438,-2,NaN,NaN,NaN,NaN
441,439,-2,NaN,NaN,NaN,NaN
442,440,-2,NaN,NaN,NaN,NaN
443,441,-2,NaN,NaN,NaN,NaN
444,442,-2,NaN,NaN,NaN,NaN
445,443,-2,NaN,NaN,NaN,NaN
446,444,-2,NaN,NaN,NaN,NaN
447,445,-2,NaN,NaN,NaN,NaN
448,446,-2,NaN,NaN,NaN,NaN
449,447,-2,NaN,NaN,NaN,NaN
450,448,-2,NaN,NaN,NaN,NaN
451,449,-2,NaN,NaN,NaN,NaN
452,450,-2,NaN,NaN,NaN,NaN
453,451,-2,NaN,NaN,NaN,NaN
454,452,-2,NaN,NaN,NaN,NaN
455,453,-2,NaN,NaN,NaN,NaN
456,454,-2,NaN,NaN,NaN,NaN
457,455,-2,NaN,NaN,NaN,NaN
458,456,-2,NaN,NaN,NaN,NaN
459,457,-2,NaN,NaN,NaN,NaN
460,458,-2,NaN,NaN,NaN,NaN
461,459,-2,NaN,NaN,NaN,NaN
462,460,-2,NaN,NaN,NaN,NaN
463,461,-2,NaN,NaN,NaN,NaN
464,462,-2,NaN,NaN,NaN,NaN
465,463,-2,NaN,NaN,NaN,NaN
466,464,-2,NaN,NaN,NaN,NaN
467,465,-2,NaN,NaN,NaN,NaN
468,466,-2,NaN,NaN,NaN,NaN
469,467,-2,NaN,NaN,NaN,NaN
470,468,-2,NaN,NaN,NaN,NaN
471,469,-2,NaN,NaN,NaN,NaN
472,470,-2,NaN,NaN,NaN,NaN
473,471,-2,NaN,NaN,NaN,NaN
474,472,-2,NaN,NaN,NaN,NaN
475,473,-2,NaN,NaN,NaN,NaN
476,474,-2,NaN,NaN,NaN,NaN
477,475,-2,NaN,NaN,NaN,NaN
478,476,-2,NaN,NaN,NaN,NaN
479,477,-2,NaN,NaN,NaN,NaN
480,478,-2,NaN,NaN,NaN,NaN
481,479,-2,NaN,NaN,NaN,NaN
482,480,-2,NaN,NaN,NaN,NaN
483,481,-2,NaN,NaN,NaN,NaN
484,482,-2,NaN,NaN,NaN,NaN
485,483,-2,NaN,NaN,NaN,NaN
486,484,-2,NaN,NaN,NaN,NaN
487,485,-2,NaN,NaN,NaN,NaN
488,486,-2,NaN,NaN,NaN,NaN
489,487,-2,NaN,NaN,NaN,NaN
490,488,-2,NaN,NaN,NaN,NaN
491,489,-2,NaN,NaN,NaN,NaN
492,490,-2,NaN,NaN,NaN,NaN
493,491,-2,NaN,NaN,NaN,NaN
494,492,-2,NaN,NaN,NaN,NaN
495,493,-2,NaN,NaN,NaN,NaN
496,493,-1,NaN,NaN,NaN,NaN
497,493,0,12.2658935401989,76.2177132077499,19.027765,886.50024
498,493,1,12.2657691959118,76.2176880212436,-365.91855,918.38245
499,493,2,12.2656448516246,76.2176628347374,-1067.7556,753.6467
500,493,3,12.2655205073374,76.2176376482312,-1266.8667,690.026
501,493,4,12.2653961630502,76.217612461725,-989.32776,910.6905
502,493,5,12.265271818763,76.2175872752187,-403.47223,841.57477
503,493,6,12.2651474744758,76.2175620887125,-6.3425922,472.50046
504,493,7,12.2650231301886,76.2175369022063,123.73334,286.03824
505,493,8,12.2648987859014,76.2175117157,154.35742,364.25824
506,493,9,12.2647744416142,76.2174865291938,489.18704,673.6055
507,493,10,12.264650097327,76.2174613426876,1162.9019,1025.5251
508,493,11,12.2645257530398,76.2174361561813,1590.7334,1208.1567
509,493,12,12.2644014087526,76.2174109696751,1871.0315,1146.8634
510,493,13,12.2642770644654,76.2173857831688,1797.7296,1172.797
511,493,14,12.2641527201783,76.2173605966626,1655.7648,862.50836
512,493,15,12.2640283758911,76.2173354101563,1062.6296,1030.8678
513,493,16,12.2639040316039,76.2173102236501,325.26297,789.9612
514,493,17,12.2637796873167,76.2172850371438,-271.6463,438.87866
515,493,18,12.2636553430295,76.2172598506375,-431.6,291.83627
516,493,19,12.2635309987423,76.2172346641313,-610.08887,393.90692
517,493,20,12.2634066544551,76.217209477625,-709.3555,409.90396
518,493,21,12.2632823101679,76.2171842911187,-893.10187,285.21875
519,493,22,12.2631579658807,76.2171591046124,-857.4056,282.48114
520,493,23,12.2630336215935,76.2171339181062,-809.95,308.21912
521,493,24,12.2629092773063,76.2171087315999,-810.49634,340.44385
522,493,25,12.2627849330191,76.2170835450936,-1009.1056,424.75296
523,493,26,12.2626605887319,76.2170583585873,-905.41113,613.815
524,493,27,12.2625362444448,76.217033172081,-865.6685,627.32196
525,493,28,12.2624119001576,76.2170079855747,-824.85187,621.6875
526,493,29,12.2622875558704,76.2169827990684,-869.6963,467.5759
527,493,30,12.2621632115832,76.2169576125622,-696.2407,566.5677
528,493,31,12.262038867296,76.2169324260559,-547.7222,433.8233
529,493,32,12.2619145230088,76.2169072395496,-675.5945,508.0229
530,493,33,12.2617901787216,76.2168820530432,-834.6556,369.35648
531,493,34,12.2616658344344,76.2168568665369,-838.80554,262.30432
532,493,35,12.2615414901472,76.2168316800307,-858.08887,311.11154
533,493,36,12.26141714586,76.2168064935243,-714.60925,445.65952
534,493,37,12.2612928015728,76.216781307018,-455.6111,560.35565
535,493,38,12.2611684572856,76.2167561205117,-47.81667,532.1329
536,493,39,12.2610441129985,76.2167309340054,137.86852,597.53265
537,493,40,12.2609197687113,76.2167057474991,611.58704,1001.2089
538,493,41,12.2607954244241,76.2166805609927,609.25,1001.08374
539,493,42,12.2606710801369,76.2166553744864,504.7852,1004.25775
540,493,43,12.2605467358497,76.2166301879801,416.62592,1004.0985
541,493,44,12.2604223915625,76.2166050014738,405.75186,975.91437
542,493,45,12.2602980472753,76.2165798149674,462.9648,1040.5083
543,493,46,12.2601737029881,76.2165546284611,-55.23519,855.977
544,493,47,12.2600493587009,76.2165294419547,-479.2611,967.6673
545,493,48,12.2599250144137,76.2165042554484,-527.69073,973.11615
546,493,49,12.2598006701265,76.2164790689421,-64.666664,1244.8962
547,493,50,12.2596763258393,76.2164538824357,1223.9185,1684.5415
548,493,51,12.2595519815521,76.2164286959294,2667.487,1952.8707
549,493,52,12.259427637265,76.216403509423,3142.75,1672.3784
550,493,53,12.2593032929778,76.2163783229167,3059.0925,1632.4656
551,493,54,12.2591789486906,76.2163531364103,2494.515,1152.7965
552,493,55,12.2590546044034,76.216327949904,2268.2166,1092.1495
553,493,56,12.2589302601162,76.2163027633976,1392.7241,1501.9592
554,493,57,12.258805915829,76.2162775768913,-255.62593,1928.1094
555,493,58,12.2586815715418,76.2162523903849,-1455.1444,1322.2197
556,493,59,12.2585572272546,76.2162272038785,-1923.2185,820.251
557,493,60,12.2584328829674,76.2162020173722,-1247.8241,1027.6437
558,493,61,12.2583085386802,76.2161768308658,-508.54074,907.16766
559,493,62,12.258184194393,76.2161516443594,129.71297,419.49002
560,493,63,12.2580598501058,76.2161264578531,297.09445,256.8611
561,493,64,12.2579355058186,76.2161012713467,161.88704,405.99557
562,493,65,12.2578111615315,76.2160760848403,90.08334,556.8888
563,493,66,12.2576868172443,76.2160508983339,258.11298,723.2551
564,493,67,12.2575624729571,76.2160257118275,456.8389,747.0468
565,493,68,12.2574381286699,76.2160005253211,641.5518,656.31537
566,493,69,12.2573137843827,76.2159753388148,934.5426,725.67633
567,493,70,12.2571894400955,76.2159501523084,1294.0074,588.3844
568,493,71,12.2570650958083,76.215924965802,1703.2722,304.24057
569,493,72,12.2569407515211,76.2158997792956,2111.2852,710.0317
570,493,73,12.2568164072339,76.2158745927892,1992.3833,873.2576
571,493,74,12.2566920629467,76.2158494062828,1645.5834,1028.7798
572,493,75,12.2565677186595,76.2158242197764,1205.6426,535.0069
